Data_registro;Hora;Ano;Mês;Dia;Familia;Especie;Nome_comum;Origem;Cor;Localidade;Município;Tipo_registro;Precisão da Coordenada;Observação;Identificador;Latitude_Y;Longitude_X;lat;lon;Rodovia;Rodovia_ou_Local
24/04/2025;;2025;4;24;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Rua Salvador de Ávila;Caraá;Vestígio;Exata;;Claudia Mata, 2025;-29,7615;-50,3865;-29.7615;-50.3865;;Área: Rua Salvador de Ávila
29/04/2025;;2025;4;29;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;RSC-473;Hulha Negra;Vestígio;Exata;;Suelen Segui, 2025;-31,3936;-53,8247;-31.3936;-53.8247;RSC-473;RSC-473
05/05/2025;12:35;2025;5;5;Felidae;Felis catus;Gato comum;Domestico;Melânico;RSC-473;Taim;Vestígio;Exata;;Felipe Peters, 2025;-32,2298;-52,4751;-32.2298;-52.4751;RSC-473;RSC-473
10/05/2025;;2025;5;10;Felidae;Leopardus pardalis;Jaguatirica;Silvestre;Pintado;BR-285;São Borja;Vestígio;Aproximada Google Maps;;Felipe Peters, 2025;-28,6209;-55,7429;-28.6209;-55.7429;BR-285;BR-285
12/05/2025;;2025;5;12;Felidae;Leopardus pardalis;Jaguatirica;Silvestre;Pintado;Rua Vale das Palmeiras;Ivoti;Vestígio;Aproximada Google Maps;;Felipe Peters, 2025;-29,5988;-51,1416;-29.5988;-51.1416;;Área: Rua Vale das Palmeiras
22/05/2025;;2025;5;22;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RS-392;São Sepé;Vestígio;Exata;;Gian Carlo Muller Pozzebon,;-30,0223;-53,6828;-30.0223;-53.6828;RS-392;RS-392
24/05/2025;;2025;5;24;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RSC-471;Taim;Vestígio;Exata;;Flávia Tirelli, 2025;-32,6278;-52,5792;-32.6278;-52.5792;RSC-471;RSC-471
01/06/2025;;2025;6;1;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Estrada Miguel Arlindo Câmara;Candiota;Vestígio;Exata;;Suelen Segui, 2025;-31,4033;-53,7595;-31.4033;-53.7595;;Área: Estrada Miguel Arlindo Câmara
02/06/2025;;2025;6;2;Felidae;Herpailurus yagouaroundi;Gato-mourisco;Silvestre;;Estrada Miguel Arlindo Câmara;Candiota;Vestígio;Exata;;Suelen Segui, 2025;-31,5087;-53,6970;-31.5087;-53.697;;Área: Estrada Miguel Arlindo Câmara
09/06/2025;;2025;6;9;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-293;Hulha Negra;Vestígio;Exata;;Gabriel Fiori, 2025;-31,3146;-54,0103;-31.3146;-54.0103;BR-293;BR-293
21/05/2025;;2025;5;21;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;Pinheiro Machado;Pinheiro Machado;Fotografia;Exata;;João Marcelo Lima, 2025;-31,5715;-53,3040;-31.5715;-53.304;;Área: Pinheiro Machado
05/07/2025;;2025;7;5;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;Dario Lassance;Candiota;Vestígio;Exata;;Suelen Segui, 2025;-31,535297;-53,711166;-31.535297;-53.711166;;Área: Dario Lassance
05/07/2025;;2025;7;5;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-293;Cerrito;Vestígio;Exata;;Pedro Hoffman, 2025;-31,7261;-52,8685;-31.7261;-52.8685;BR-293;BR-293
01/07/2025;;2025;7;1;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RSC-473;Hulha Negra;Vestígio;Exata;;Suelen Segui, 2025;-31,3925;-53,8298;-31.3925;-53.8298;RSC-473;RSC-473
13/07/2025;;2025;7;13;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;RSC-472;Uruguaiana;Vestígio;Exata;;Raphael Kurz, 2025;-29,9203;-57,1596;-29.9203;-57.1596;RSC-472;RSC-472
13/07/2025;;2025;7;13;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-285;Panambi;Vestígio;Exata;;Felipe Peters, 2025;-28,4294;-53,1395;-28.4294;-53.1395;BR-285;BR-285
07/07/2025;;2025;7;7;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;APA do Ibirapuitã;Alegrete;Vestígio;Exata;;Luis Betim, 2025;-29,9754;-55,7643;-29.9754;-55.7643;;Área: APA do Ibirapuitã
15/07/2025;;2025;7;15;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;APA do Ibirapuitã;Alegrete;Vestígio;Exata;;Flávia Tirelli, 2025;-29,9063;-56,0320;-29.9063;-56.032;;Área: APA do Ibirapuitã
26/07/2025;;2025;7;26;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;Tainha;Tainhas;Vestígio;Exata;;Alan, 2025;-29,2849;-50,197694;-29.2849;-50.197694;;Área: Tainha
30/07/2025;;2025;7;30;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;Santa Rosa;Santa Rosa;Vestígio;Exata;;Alan, 2025;-27,9097;-54,5307;-27.9097;-54.5307;;Área: Santa Rosa
03/08/2025;;2025;8;3;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;ERS - 168;São Luiz Gonzafa;Vestígio;Aproximada Google Maps;;Daniela Oliveira, 2025;-28,4027;-54,9874;-28.4027;-54.9874;ERS-168;ERS-168
05/08/2025;;2025;8;5;Felidae;Puma concolor;Puma;Silvestre;;ERS - 392; Santo Ângelo;Vestígio;Aproximada Google Maps;;Rogério, 2025;-28,2880;-54,2854;-28.288;-54.2854;ERS-392;ERS-392
7/72025;;2025;7;7;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;ERS - 040;Águas Claras;Vestígio;Exata;;Rogério, 2025;-30,1265;-50,8491;-30.1265;-50.8491;ERS-040;ERS-040
06/08/2025;;2025;8;6;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;Santa Maria; Santa Maria;Vestígio;Exata;;Felipe Peters, 2025;-29,7196;-53,7431;-29.7196;-53.7431;;Área: Santa Maria
08/08/2025;;2025;8;8;Felidae;Herpailurus yagouaroundi;Jaguarundi;Silvestre;;Seival;Candiota;Vestígio;Exata;;Suelen Segui, 2025;-31,4548;-53,7405;-31.4548;-53.7405;;Área: Seival
09/08/2025;;2025;8;9;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Ciriaco;Ciriaco;Vestígio;Exata;;Alan, 2025;-28,3677;-51,8782;-28.3677;-51.8782;;Área: Ciriaco
13/08/2025;;2025;8;13;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Rodovia Mercosul;Capivari do Sul;Vestígio;Exata;;Alan, 2025;-30,117243;-50,463392;-30.117243;-50.463392;BR-290/BR-386;BR-290/BR-386
14/08/2025;;2025;8;14;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;RS - 392;Guarani das Missões;Vestígio;Exata;;Felipe Peters, 2025;-28,129472;-54,65025;-28.129472;-54.65025;RS-392;RS-392
07/07/2025;;2025;7;7;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-285;Mato Castelhano;Vestígio;Exata;;Rogério,  2025;-28,258056;-52,233611;-28.258056;-52.233611;BR-285;BR-285
19/08/2025;;2025;8;19;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;;;;;Coordenada incorreta, não foi possível correção por aproximação;;-29,4626;-50,1288;-29.4626;-50.1288;;Localização não identificada
21/08/2025;;2025;8;21;Felidae;Leopardus munoai;Gato-palheiro-pampeano;Silvestre;Pintado;BR-293;Bagé;Vestígio;Exata;;Felipe Peters, 2025;-31,3364;-53,9676;-31.3364;-53.9676;BR-293;BR-293
